date,site,forecast,horizon,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
2025-06-04,UKFS,gec00,f000,98122.375,290.3380432128906,0.2970000207424164,0,0,0
2025-06-04,UNDE,gec00,f000,95488.7734375,284.93804931640625,0.26200002431869507,0,0,0
2025-06-04,WOOD,gec00,f000,95587.9765625,285.6380310058594,0.17000000178813934,0,0,0
2025-06-04,WREF,gec00,f000,92714.375,284.738037109375,0.2330000102519989,0,0,0
2025-06-04,YELL,gec00,f000,76144.7734375,279.738037109375,0.2540000081062317,0,0,0
2025-06-05,ABBY,gec00,f000,96997.2421875,283.7380065917969,0.2070000171661377,0,0,0
2025-06-05,BARR,gec00,f000,101195.6484375,NA,NA,21,0.05999999865889549,1.25
2025-06-05,BART,gec00,f000,95645.2421875,288.3380126953125,0.2680000066757202,0,0,0
2025-06-05,BLAN,gec00,f000,99341.2421875,290.8380126953125,0.2770000100135803,0,0,0
2025-06-05,BONA,gec00,f000,96024.4453125,282.7380065917969,0.2070000171661377,0,0,0
2025-06-05,CLBJ,gec00,f000,98242.046875,293.4380187988281,0.3020000159740448,0,0,0
2025-06-05,CPER,gec00,f000,82998.84375,287.03802490234375,0.2340000122785568,0,0,0
2025-06-05,DCFS,gec00,f000,95888.4453125,285.7380065917969,0.1850000023841858,0,0,0
2025-06-05,DEJU,gec00,f000,93936.4453125,282.03802490234375,0.17500001192092896,0,0,0
2025-06-05,DELA,gec00,f000,101030.84375,295.2380065917969,0.24900001287460327,0,0,0
2025-06-05,DSNY,gec00,f000,101459.6484375,297.3380126953125,0.1420000046491623,0,0,0
2025-06-05,GRSM,gec00,f000,91749.2421875,289.6380310058594,0.2930000126361847,0,0,0
2025-06-05,GUAN,gec00,f000,100520.4453125,298.3380126953125,0.1710000038146973,0,0,0
2025-06-05,HARV,gec00,f000,98571.6484375,288.9380187988281,0.27300000190734863,0,0,0
2025-06-05,HEAL,gec00,f000,92634.046875,278.9380187988281,0.22100001573562625,0,0,0
2025-06-05,JERC,gec00,f000,101035.6484375,295.9380187988281,0.17600001394748688,0,0,0
2025-06-05,JORN,gec00,f000,85955.6484375,296.53802490234375,0.11600000411272048,0,0,0
2025-06-05,KONA,gec00,f000,97192.4453125,288.6380310058594,0.3100000023841858,0,0,0
2025-06-05,KONZ,gec00,f000,97192.4453125,288.6380310058594,0.3100000023841858,0,0,0
2025-06-05,LAJA,gec00,f000,100520.4453125,298.3380126953125,0.1710000038146973,0,0,0
2025-06-05,LENO,gec00,f000,100888.4453125,295.53802490234375,0.26100000739097595,0,0,0
2025-06-05,MLBS,gec00,f000,93958.84375,289.3380126953125,0.2760000228881836,0,0,0
2025-06-05,MOAB,gec00,f000,79650.046875,288.03802490234375,0.2080000042915344,0,0,0
2025-06-05,NIWO,gec00,f000,73883.6484375,278.7380065917969,0.2639999985694885,0,0,0
