site_id,startDateTime,SOILT,VSWC
DCFS,2024-02-19T00:00:00Z,-0.35724999999999996,NA
DCFS,2024-02-20T00:00:00Z,-0.14925,NA
DCFS,2024-02-21T00:00:00Z,-0.11025,NA
DCFS,2024-02-22T00:00:00Z,0.49925,0.1458
DCFS,2024-02-23T00:00:00Z,0.41875,0.1484
DCFS,2024-02-24T00:00:00Z,-0.2955,NA
DCFS,2024-02-25T00:00:00Z,0.43725,0.1308
DCFS,2024-02-26T00:00:00Z,0.06325,0.1423
DCFS,2024-02-27T00:00:00Z,1.149,0.17195
DCFS,2024-02-28T00:00:00Z,-0.54925,0.135
DCFS,2024-02-29T00:00:00Z,-0.51325,NA
DEJU,2024-02-01T00:00:00Z,-11.071,NA
DEJU,2024-02-02T00:00:00Z,-11.01625,NA
DEJU,2024-02-04T00:00:00Z,-13.5595,NA
DEJU,2024-02-05T00:00:00Z,-11.11675,NA
DEJU,2024-02-06T00:00:00Z,-9.93175,NA
DEJU,2024-02-07T00:00:00Z,-8.66775,NA
DEJU,2024-02-08T00:00:00Z,-8.34825,NA
DEJU,2024-02-09T00:00:00Z,-8.55975,NA
DEJU,2024-02-10T00:00:00Z,-7.3295,NA
DEJU,2024-02-11T00:00:00Z,-5.9855,NA
DEJU,2024-02-12T00:00:00Z,-5.0969999999999995,NA
DEJU,2024-02-13T00:00:00Z,-5.08975,NA
DEJU,2024-02-14T00:00:00Z,-3.8275,NA
DEJU,2024-02-15T00:00:00Z,-3.26925,NA
DEJU,2024-02-16T00:00:00Z,-3.3995,NA
DEJU,2024-02-17T00:00:00Z,-3.65475,NA
DEJU,2024-02-18T00:00:00Z,-5.0565,0.0252
DEJU,2024-02-19T00:00:00Z,-4.8995,NA
DEJU,2024-02-20T00:00:00Z,-4.54925,NA
DEJU,2024-02-21T00:00:00Z,-1.916,NA
DEJU,2024-02-22T00:00:00Z,-1.04225,NA
DEJU,2024-02-23T00:00:00Z,-1.21575,NA
DEJU,2024-02-24T00:00:00Z,-2.2255,NA
DEJU,2024-02-25T00:00:00Z,-3.8635,NA
DEJU,2024-02-26T00:00:00Z,-4.052,NA
DEJU,2024-02-27T00:00:00Z,-5.385,NA
DEJU,2024-02-28T00:00:00Z,-5.389,NA
DEJU,2024-02-29T00:00:00Z,-6.654,NA
DELA,2024-02-02T00:00:00Z,11.9398,0.23745
DELA,2024-02-03T00:00:00Z,12.7072,0.2459
DELA,2024-02-04T00:00:00Z,12.995,0.2638
DELA,2024-02-05T00:00:00Z,11.4806,0.25243333333333334
DELA,2024-02-06T00:00:00Z,11.9262,0.22915
DELA,2024-02-07T00:00:00Z,12.3804,0.2382
DELA,2024-02-08T00:00:00Z,12.5746,0.2241
DELA,2024-02-09T00:00:00Z,12.744,0.2223
DELA,2024-02-10T00:00:00Z,14.8192,0.2304
DELA,2024-02-11T00:00:00Z,15.1354,0.2343
DELA,2024-02-12T00:00:00Z,16.5332,0.28173333333333334
DELA,2024-02-13T00:00:00Z,14.6674,0.3285
DELA,2024-02-14T00:00:00Z,13.2466,0.3936
DELA,2024-02-15T00:00:00Z,13.322,0.4311
DELA,2024-02-16T00:00:00Z,13.378,0.3887
DELA,2024-02-17T00:00:00Z,14.0724,0.3799
DELA,2024-02-18T00:00:00Z,11.5944,0.3625
DELA,2024-02-19T00:00:00Z,11.5446,0.3229
DELA,2024-02-20T00:00:00Z,11.8642,0.30545
DELA,2024-02-21T00:00:00Z,12.736,0.2839
DELA,2024-02-22T00:00:00Z,14.3836,0.28154999999999997
DELA,2024-02-23T00:00:00Z,17.91675,0.2726
DELA,2024-02-24T00:00:00Z,15.42775,0.2842
DELA,2024-02-25T00:00:00Z,14.97325,0.26935
DELA,2024-02-26T00:00:00Z,14.87,0.26105
DELA,2024-02-27T00:00:00Z,16.093,0.2716
DELA,2024-02-28T00:00:00Z,17.12275,0.25634999999999997
DELA,2024-02-29T00:00:00Z,15.5338,0.2519
DSNY,2024-02-01T00:00:00Z,15.561,0.2343
DSNY,2024-02-02T00:00:00Z,15.1434,0.1992
DSNY,2024-02-03T00:00:00Z,15.9972,0.2075
DSNY,2024-02-04T00:00:00Z,17.1162,0.197675
DSNY,2024-02-05T00:00:00Z,17.4264,0.21443333333333336
DSNY,2024-02-06T00:00:00Z,16.6402,0.19195
DSNY,2024-02-07T00:00:00Z,15.9674,0.17663333333333334
DSNY,2024-02-08T00:00:00Z,16.412,0.18926
DSNY,2024-02-09T00:00:00Z,17.3284,0.19116666666666668
DSNY,2024-02-10T00:00:00Z,17.8862,0.16820000000000002
DSNY,2024-02-11T00:00:00Z,19.0284,0.17722
DSNY,2024-02-12T00:00:00Z,20.4256,0.1737
DSNY,2024-02-13T00:00:00Z,21.1962,0.15356666666666666
DSNY,2024-02-14T00:00:00Z,18.5654,0.16876
DSNY,2024-02-15T00:00:00Z,17.6846,0.16474
DSNY,2024-02-16T00:00:00Z,18.8076,0.155725
DSNY,2024-02-17T00:00:00Z,19.444,0.16163333333333335
DSNY,2024-02-18T00:00:00Z,17.2864,0.1646
DSNY,2024-02-19T00:00:00Z,15.9184,0.26756
DSNY,2024-02-20T00:00:00Z,15.8402,0.266175
DSNY,2024-02-21T00:00:00Z,15.106,0.24165
DSNY,2024-02-22T00:00:00Z,15.4454,0.228125
DSNY,2024-02-23T00:00:00Z,16.044,0.2191
DSNY,2024-02-24T00:00:00Z,18.005,0.1953
DSNY,2024-02-25T00:00:00Z,16.5008,0.1953
DSNY,2024-02-26T00:00:00Z,16.372999999999998,0.20454
DSNY,2024-02-27T00:00:00Z,16.821199999999997,0.188575
DSNY,2024-02-28T00:00:00Z,17.7526,0.19146666666666667
