site_id,datetime,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
CLBJ,2023-11-24T00:00:00Z,98543.5224609375,284.410457611084,0.1965000107884407,0,0,0
CPER,2023-11-24T00:00:00Z,83444.9228515625,274.0104560852051,0.10200000554323196,4.875,0.051249998388811946,0
DCFS,2023-11-24T00:00:00Z,97343.923828125,268.150447845459,0.14937500655651093,0,0,0
DEJU,2023-11-24T00:00:00Z,95096.5224609375,266.5079574584961,0.3880000114440918,34,0.33249998837709427,0
DELA,2023-11-24T00:00:00Z,101464.521484375,284.00920486450195,0.23637501150369644,0,0,0
DSNY,2023-11-24T00:00:00Z,101490.5234375,291.4742012023926,0.13925000838935375,0,0,0
GRSM,2023-11-24T00:00:00Z,91449.1240234375,279.71545028686523,0.2745000161230564,0,0,0
GUAN,2023-11-24T00:00:00Z,100394.9228515625,298.49670791625977,0.1932500060647726,0,0,0
HARV,2023-11-24T00:00:00Z,98323.3212890625,276.44670486450195,0.2841250151395798,0,0,0
HEAL,2023-11-24T00:00:00Z,93451.3232421875,267.3192024230957,0.4140000343322754,31,0.29999998584389687,0
JERC,2023-11-24T00:00:00Z,101257.1220703125,287.70545196533203,0.1550000049173832,0,0,0
JORN,2023-11-24T00:00:00Z,85902.5224609375,284.06920623779297,0.14275000616908073,0,0,0
KONA,2023-11-24T00:00:00Z,98065.3232421875,277.53170013427734,0.22950001060962677,0,0,0
KONZ,2023-11-24T00:00:00Z,98065.3232421875,277.53170013427734,0.22950001060962677,0,0,0
LAJA,2023-11-24T00:00:00Z,100394.9228515625,298.49670791625977,0.1932500060647726,0,0,0
LENO,2023-11-24T00:00:00Z,101326.123046875,284.09545135498047,0.24700001068413258,0,0,0
MLBS,2023-11-24T00:00:00Z,93721.5224609375,277.9154510498047,0.25075000897049904,0,0,0
MOAB,2023-11-24T00:00:00Z,78929.1220703125,276.5292053222656,0.1313750110566616,0.25,0.0012499999720603228,0
NIWO,2023-11-24T00:00:00Z,73545.32421875,271.7767028808594,0.33275001868605614,8.75,0.10124999703839421,0
NOGP,2023-11-24T00:00:00Z,96528.9228515625,268.91419982910156,0.1730000078678131,0,0,0
OAES,2023-11-24T00:00:00Z,95946.9228515625,283.2929496765137,0.12512500118464231,0,0,0
ONAQ,2023-11-24T00:00:00Z,81429.521484375,276.0004539489746,0.19700000993907452,2.125,0.009999999776482582,0
ORNL,2023-11-24T00:00:00Z,97251.5224609375,281.2529487609863,0.2565000094473362,0,0,0
OSBS,2023-11-24T00:00:00Z,101574.5224609375,289.26920318603516,0.1281250063329935,0,0,0
PUUM,2023-11-24T00:00:00Z,80770.5224609375,291.9867057800293,0.11000000685453415,0,0,0
RMNP,2023-11-24T00:00:00Z,74037.5224609375,272.62170791625977,0.1593750100582838,6.75,0.08499999670311809,0
SCBI,2023-11-24T00:00:00Z,99438.5234375,279.86295318603516,0.28337501734495163,0,0,0
SERC,2023-11-24T00:00:00Z,101833.1220703125,NA,NA,NA,NA,0
SJER,2023-11-24T00:00:00Z,93947.322265625,284.31795501708984,0.12562500219792128,0,0,0
SOAP,2023-11-24T00:00:00Z,93947.322265625,284.31795501708984,0.12562500219792128,0,0,0
SRER,2023-11-24T00:00:00Z,89722.9228515625,287.31295013427734,0.1067500077188015,0,0,0
STEI,2023-11-24T00:00:00Z,97081.5224609375,272.8629608154297,0.24575001001358032,0,0,0
STER,2023-11-24T00:00:00Z,87830.32421875,274.59045028686523,0.09162500686943531,1.625,0.019999999087303877,0
TALL,2023-11-24T00:00:00Z,100961.3212890625,283.8992004394531,0.23900001123547554,0,0,0
TEAK,2023-11-24T00:00:00Z,79551.9228515625,278.08920669555664,0.203000009059906,2,0.009999999776482582,0
TOOL,2023-11-24T00:00:00Z,89186.7216796875,264.7767105102539,0.30400002002716064,32,0.3199999928474426,0
TREE,2023-11-24T00:00:00Z,97081.5224609375,272.8629608154297,0.24575001001358032,0,0,0
UKFS,2023-11-24T00:00:00Z,99213.5224609375,278.2129554748535,0.1990000084042549,0,0,0
UNDE,2023-11-24T00:00:00Z,96650.1220703125,271.6504554748535,0.23337501287460327,0,0,0
WOOD,2023-11-24T00:00:00Z,97343.923828125,268.150447845459,0.14937500655651093,0,0,0
WREF,2023-11-24T00:00:00Z,93197.5234375,277.2967071533203,0.28337501361966133,0,0,0
YELL,2023-11-24T00:00:00Z,75805.7236328125,269.7792091369629,0.3960000164806843,5,0.05124999722465873,0
ABBY,2023-11-25T00:00:00Z,97652.173828125,276.1591377258301,0.2487500086426735,0,0,0
BARR,2023-11-25T00:00:00Z,101774.9736328125,NA,NA,4,0.019999999552965164,0.32374998927116394
BART,2023-11-25T00:00:00Z,95952.1748046875,274.8641357421875,0.2978750132024288,5,0.04874999728053808,0
BLAN,2023-11-25T00:00:00Z,100172.775390625,278.25664138793945,0.265500009059906,0,0,0
BONA,2023-11-25T00:00:00Z,97629.375,267.2241439819336,0.39775002747774124,33,0.32624998688697815,0
CLBJ,2023-11-25T00:00:00Z,98696.375,284.4428901672363,0.18737500719726086,0,0,0
CPER,2023-11-25T00:00:00Z,83021.7763671875,272.23538970947266,0.10350000485777855,10,0.1087499987334013,0
DCFS,2023-11-25T00:00:00Z,96253.775390625,268.0603904724121,0.15737500600516796,0,0,0
DEJU,2023-11-25T00:00:00Z,95480.1748046875,267.01288986206055,0.38700002431869507,34,0.33374999091029167,0
DELA,2023-11-25T00:00:00Z,101526.9765625,284.5578956604004,0.22487501055002213,0,0,0
DSNY,2023-11-25T00:00:00Z,101566.3759765625,291.6053924560547,0.14412500895559788,0,0,0
GRSM,2023-11-25T00:00:00Z,91723.9755859375,280.0916442871094,0.26250000670552254,0,0,0
GUAN,2023-11-25T00:00:00Z,100399.9755859375,298.5141410827637,0.2017500102519989,0,0,0
HARV,2023-11-25T00:00:00Z,99247.173828125,276.5791435241699,0.2756250128149986,0,0,0
HEAL,2023-11-25T00:00:00Z,93900.373046875,268.3341369628906,0.4151250198483467,30.25,0.26874999329447746,0
JERC,2023-11-25T00:00:00Z,101372.1748046875,287.7166404724121,0.16687501035630703,0,0,0
JORN,2023-11-25T00:00:00Z,85886.5751953125,285.61038970947266,0.1406250037252903,0,0,0
KONA,2023-11-25T00:00:00Z,97918.57421875,274.5841407775879,0.22150001674890518,0.625,0.004999999888241291,0
KONZ,2023-11-25T00:00:00Z,97918.57421875,274.5841407775879,0.22150001674890518,0.625,0.004999999888241291,0
LAJA,2023-11-25T00:00:00Z,100399.9755859375,298.5141410827637,0.2017500102519989,0,0,0
LENO,2023-11-25T00:00:00Z,101377.5751953125,284.6541404724121,0.2436250075697899,0,0,0
MLBS,2023-11-25T00:00:00Z,94142.9765625,277.64163970947266,0.24700001068413258,0,0,0
MOAB,2023-11-25T00:00:00Z,79191.17578125,275.7366409301758,0.16037501022219658,7.625,0.05499999783933163,0
NIWO,2023-11-25T00:00:00Z,73158.1748046875,270.07164001464844,0.3426250144839287,9.375,0.09624999482184649,0
NOGP,2023-11-25T00:00:00Z,95400.3759765625,268.0116386413574,0.17625000700354576,0,0,0
OAES,2023-11-25T00:00:00Z,96100.1767578125,280.2016410827637,0.1290000081062317,0,0,0
