site_id,startDateTime,flux,flux_err,n,n_tot
OAES,2020-06-16T00:00:00Z,0.19424394356821206,1.1548009351981192,24,40
OAES,2020-06-17T00:00:00Z,0.1569409834053428,0.09519291825214062,24,40
OAES,2020-06-18T00:00:00Z,-0.013623550145194107,0.23701296716370196,24,40
OAES,2020-06-19T00:00:00Z,0.1535433331087465,0.10706177683347969,24,40
OAES,2020-06-20T00:00:00Z,0.03730244982444796,0.15574722136938993,24,40
OAES,2020-06-21T00:00:00Z,0.566557250148765,0.25856299260500176,24,40
OAES,2020-06-22T00:00:00Z,0.049328489389703745,0.19494422526516617,24,40
OAES,2020-06-23T00:00:00Z,3.4937065367584585,7.065468947834236,24,40
OAES,2020-06-24T00:00:00Z,4.294111930812338,2.5618481195019966,24,40
OAES,2020-06-25T00:00:00Z,6.080330607561527,3.438184376810809,24,40
OAES,2020-06-26T00:00:00Z,4.933631302356422,7.524447363693264,32,40
OAES,2020-06-27T00:00:00Z,4.777975831054745,8.018204287263902,32,40
OAES,2020-06-28T00:00:00Z,3.9769835704903076,11.184010330407197,32,40
OAES,2020-06-29T00:00:00Z,2.773602495849429,8.539046529424732,32,40
OAES,2020-06-30T00:00:00Z,1.3403643385051753,0.9593830183511686,32,40
ONAQ,2020-06-01T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-02T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-03T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-04T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-05T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-06T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-07T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-08T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-09T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-10T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-11T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-12T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-13T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-14T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-15T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-16T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-17T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-18T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-19T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-20T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-21T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-22T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-23T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-24T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-25T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-26T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-27T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-28T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-29T00:00:00Z,NA,NA,0,NA
ONAQ,2020-06-30T00:00:00Z,NA,NA,0,NA
ORNL,2020-06-01T00:00:00Z,7.97320924592451,0.4145478178159691,16,40
ORNL,2020-06-02T00:00:00Z,6.8042403586218985,0.3445558882988292,16,40
ORNL,2020-06-03T00:00:00Z,6.051411027444627,0.32054929834215906,16,40
ORNL,2020-06-04T00:00:00Z,6.243678092483663,0.30429193385347814,16,40
ORNL,2020-06-05T00:00:00Z,5.601057453514096,0.26151326755218257,16,40
ORNL,2020-06-06T00:00:00Z,6.688876038326007,0.3382021599627391,16,40
ORNL,2020-06-07T00:00:00Z,6.499024293444429,0.3308489381721493,16,40
ORNL,2020-06-08T00:00:00Z,6.295907747831034,0.32623958942583065,16,40
ORNL,2020-06-09T00:00:00Z,5.797734175151687,0.2840295029979871,16,40
ORNL,2020-06-10T00:00:00Z,6.676389748283447,0.3300456912818818,16,40
ORNL,2020-06-11T00:00:00Z,5.692609090307772,0.3511320135973422,16,40
ORNL,2020-06-12T00:00:00Z,6.818111759155131,0.38777583057303083,16,40
ORNL,2020-06-13T00:00:00Z,5.842894208912626,0.33811090292263035,16,40
ORNL,2020-06-14T00:00:00Z,5.240518451411862,0.3054295373320177,16,40
ORNL,2020-06-15T00:00:00Z,5.076793351480289,0.27006058008725325,16,40
ORNL,2020-06-16T00:00:00Z,4.954242579789548,0.2522337544225039,16,40
ORNL,2020-06-17T00:00:00Z,4.869118351664355,0.27493617181618113,16,40
ORNL,2020-06-18T00:00:00Z,4.340053263599533,0.24518054761338273,16,40
ORNL,2020-06-19T00:00:00Z,3.848233828057422,0.21334796293777736,16,40
ORNL,2020-06-20T00:00:00Z,3.808111105800355,0.2098248898612093,16,40
ORNL,2020-06-21T00:00:00Z,4.322154886064483,0.24810274786551037,16,40
ORNL,2020-06-22T00:00:00Z,4.30724749711705,0.24409853674509505,16,40
ORNL,2020-06-23T00:00:00Z,4.163838896130255,0.2461349353538027,16,40
ORNL,2020-06-24T00:00:00Z,5.162203785923639,0.2734554742891942,16,40
ORNL,2020-06-25T00:00:00Z,5.236941506337393,0.28168507411105775,16,40
ORNL,2020-06-26T00:00:00Z,4.605181412192414,0.25862845454923516,16,40
ORNL,2020-06-27T00:00:00Z,4.217837548569088,0.22126683148409468,16,40
ORNL,2020-06-28T00:00:00Z,3.8057026857795453,0.21009617348679646,16,40
ORNL,2020-06-29T00:00:00Z,5.570386720758173,0.29340625690874733,16,40
ORNL,2020-06-30T00:00:00Z,5.6072858951845035,0.32764427888992814,16,40
OSBS,2020-06-01T00:00:00Z,0.7032248673483533,0.14764016423606077,24,40
OSBS,2020-06-02T00:00:00Z,0.7405974268862403,0.12763296784667807,24,40
OSBS,2020-06-03T00:00:00Z,0.7215789504517445,0.13931399577039802,24,40
OSBS,2020-06-04T00:00:00Z,0.7017610965468579,0.12194213333764811,24,40
OSBS,2020-06-05T00:00:00Z,0.5195778495765335,0.0898829837113308,24,40
OSBS,2020-06-06T00:00:00Z,0.6371895424429197,0.1366348865366602,24,40
OSBS,2020-06-07T00:00:00Z,0.45529927933726816,0.08243819435370882,24,40
OSBS,2020-06-08T00:00:00Z,0.38452252479261,0.09181162795492975,24,40
OSBS,2020-06-09T00:00:00Z,0.6077658635685039,0.13044128503471847,24,40
OSBS,2020-06-10T00:00:00Z,0.6265321256691185,0.1293015641502244,24,40
OSBS,2020-06-11T00:00:00Z,0.5738299972411094,0.11636122047709332,24,40
OSBS,2020-06-12T00:00:00Z,0.5864159714603641,0.08828670640579322,24,40
OSBS,2020-06-13T00:00:00Z,0.6426693145920264,0.12715487633215009,24,40
OSBS,2020-06-14T00:00:00Z,0.4364703328587891,0.09140327069098174,24,40
OSBS,2020-06-15T00:00:00Z,0.5720847760024156,0.1102076470141294,24,40
OSBS,2020-06-16T00:00:00Z,0.6710199282698528,0.1346138715829782,24,40
OSBS,2020-06-17T00:00:00Z,0.6662661347192873,0.13146789677116769,24,40
OSBS,2020-06-18T00:00:00Z,0.34930751604804,0.05891240149145827,24,40
